name	rfrac
2019.fqu	0.7
2019.s3r	0.7
2019.ziw	0.7
2019.7iz	0.7
2019.iqp	0.7
2019.znx	0.7
2019.kb4	0.7
2019.tf6	0.7
2019.ojy	0.7
2019.sii	0.7
2019.uen	0.7
2019.q4h	0.7
2019.f61	0.7
2019.avj	0.7
2019.ex6	0.7
2019.zjq	0.7
2019.n4f	0.7
2019.m20	0.7
2019.35n	0.7
2019.m7y	0.7
2019.rji	0.7
2019.733	0.7
2019.5lc	0.8
2019.8gg	0.6
2019.shc	0.6
2019.txm	0.6
2019.jnp	0.6
2019.hpe	0.6
2019.bpa	0.6
2019.5yn	0.6
2019.un4	0.6
2019.rqc	0.6
2019.8kt	0.6
2019.v1i	0.6
2019.s10	0.6
2019.sur	0.6
2019.5x2	0.6
2019.t6j	0.6
2019.9ng	0.6
2019.v27	0.6
2019.jb6	0.6
2019.owt	0.6
2019.p38	0.6
2019.kk7	0.8
2019.7a3	0.8
2019.vg4	0.8
2019.5a6	0.8
2019.ypc	0.8
2019.lqd	0.8
2019.h22	0.8
2019.mff	0.8
2019.y5t	0.8
2019.hwd	0.8
2019.kz3	0.8
2019.wvx	0.8
2019.q2y	0.8
2019.p7f	0.8
2019.h9h	0.8
2019.kg9	0.8
2019.34b	0.8
2019.gpd	0.8
2019.a1t	0.7
2019.ois	0.7
2019.pu8	0.7
2019.8je	0.7
2019.wfa	0.7
2019.1hj	0.7
2019.hjc	0.7
2019.m97	0.7
2019.8cu	0.7
2019.fff	0.7
2019.m69	0.7
2019.q6m	0.7
2019.75w	0.7
2019.9xu	0.7
2019.n56	0.7
2019.9pp	0.7
2019.zxz	0.7
2019.49j	0.7
2019.3im	0.7
2019.ao1	0.7
2019.z5o	0.7
2019.m4k	0.7
2019.4ec	0.8
2019.wj1	0.6
2019.i1i	0.6
2019.z00	0.6
2019.acb	0.6
2019.5aq	0.6
2019.r2f	0.6
2019.epn	0.6
2019.00k	0.6
2019.q41	0.6
2019.fpx	0.6
2019.dgc	0.6
2019.j8k	0.6
2019.dwn	0.6
2019.hjy	0.6
2019.qfk	0.6
2019.76r	0.6
2019.kuf	0.6
2019.cai	0.6
2019.da3	0.6
2019.z0w	0.6
2019.jow	0.6
2019.0mx	0.8
2019.j52	0.8
2019.eci	0.8
2019.6ir	0.8
2019.f2m	0.8
2019.q9i	0.8
2019.tg2	0.8
2019.ydt	0.8
2019.0aa	0.8
2019.822	0.8
2019.6k6	0.8
2019.npy	0.8
2019.zxo	0.8
2019.0an	0.8
2019.8jw	0.8
2019.r2h	0.8
2019.p43	0.8
2019.pif	0.8
2019.0n9	0.8
2019.fi3	0.8
2019.yty	0.8
2019.wx5	0.8
2019.n4z	0.8
2019.pc9	0.7
2019.cst	0.7
2019.ysx	0.7
2019.n4b	0.7
2019.lkn	0.7
2019.xdq	0.7
2019.mi7	0.7
2019.08b	0.7
2019.hgh	0.7
2019.utq	0.7
2019.ox3	0.7
2019.bsf	0.7
2019.xb6	0.7
2019.qqh	0.7
2019.4rq	0.7
2019.aas	0.8
2019.16g	0.6
2019.e1b	0.6
2019.anz	0.6
2019.ouk	0.6
2019.uev	0.6
2019.80h	0.6
2019.pep	0.6
2019.lqk	0.6
2019.qf7	0.6
2019.8zi	0.6
2019.1ah	0.6
2019.hnx	0.6
2019.7ue	0.6
2019.hfc	0.6
2019.hst	0.6
2019.rt1	0.6
2019.ca1	0.8
2019.hpp	0.8
2019.93i	0.8
2019.nkz	0.8
2019.7af	0.8
2019.nb5	0.8
2019.qnq	0.8
2019.h49	0.8
2019.k96	0.8
2019.h92	0.8
2019.d7j	0.8
2019.s5p	0.8
2019.3xl	0.8
2019.hrb	0.8
2019.y4h	0.8
2019.np7	0.8
2019.w3f	0.8
2019.xjd	0.7
2019.bd1	0.7
2019.tto	0.7
2019.qqr	0.7
2019.edr	0.7
2019.vez	0.7
2019.me5	0.7
2019.i9t	0.7
2019.xfq	0.7
2019.1ok	0.7
2019.jbn	0.7
2019.dx9	0.7
2019.39d	0.7
2019.h7x	0.7
2019.do7	0.7
2019.jji	0.7
2019.n44	0.7
2019.fzc	0.7
2019.1k7	0.7
2019.qyk	0.7
2019.wqu	0.7
2019.gy4	0.8
2019.mgs	0.6
2019.skm	0.6
2019.vkq	0.6
2019.2k7	0.6
2019.b3v	0.6
2019.kc2	0.6
2019.o8k	0.6
2019.8hj	0.6
2019.6ba	0.6
2019.kzl	0.6
2019.fx0	0.6
2019.lua	0.6
2019.dyu	0.6
2019.ng5	0.6
2019.hhn	0.6
2019.al5	0.6
2019.z52	0.6
2019.vot	0.6
2019.puz	0.8
2019.alg	0.8
2019.rc8	0.8
2019.my9	0.8
2019.9et	0.8
2019.7po	0.8
2019.dog	0.8
2019.n8d	0.8
2019.009	0.8
2019.awp	0.8
2019.q09	0.8
2019.txq	0.8
2019.rgd	0.8
2019.4sc	0.8
2019.8wr	0.8
2019.2al	0.8
2019.3l0	0.8
2019.xqn	0.8
2019.voq	0.8
2019.55f	0.8
2019.2zr	0.8
2019.ch2	0.8
2019.7ze	0.8
2019.s8f	0.7
2019.rlg	0.7
2019.fkg	0.7
2019.tx4	0.7
2019.b6l	0.7
2019.uz0	0.7
2019.mjq	0.7
2019.s9u	0.7
2019.5sb	0.7
2019.k2n	0.7
2019.ot9	0.7
2019.m5r	0.7
2019.bvc	0.7
2019.5l5	0.7
2019.7tp	0.7
2019.d40	0.7
2019.2eb	0.7
2019.8m4	0.7
2019.rcq	0.7
2019.tfe	0.7
2019.bqg	0.7
2019.7hm	0.8
2019.p0h	0.6
2019.267	0.6
2019.iy1	0.6
2019.fds	0.6
2019.74t	0.6
2019.rn0	0.6
2019.e2s	0.6
2019.vxh	0.6
2019.2ex	0.6
2019.7rs	0.6
2019.j6c	0.6
2019.aaa	0.6
2019.4lh	0.6
2019.4k2	0.6
2019.uje	0.6
2019.62m	0.6
2019.012	0.6
2019.zv1	0.6
2019.cg4	0.6
2019.5vo	0.6
2019.4ci	0.6
2019.8go	0.8
2019.pm3	0.8
2019.hb4	0.8
2019.bim	0.8
2019.ngg	0.8
2019.ed3	0.8
2019.j8l	0.8
2019.bqa	0.8
2019.tb5	0.8
2019.jsl	0.8
2019.b73	0.8
2019.fjo	0.8
2019.5fp	0.8
2019.c34	0.8
2019.b59	0.8
2019.2wg	0.8
2019.b5c	0.8
2019.zr8	0.8
2019.rkh	0.8
2019.z6f	0.8
2019.m18	0.8
2019.3fz	0.8
2019.vqd	0.7
2019.5vg	0.7
2019.56r	0.7
2019.20p	0.7
2019.yr0	0.7
2019.xni	0.7
2019.8nl	0.7
2019.rgc	0.7
2019.ku0	0.7
2019.lb3	0.7
2019.u4j	0.7
2019.uyl	0.7
2019.shq	0.7
2019.pwh	0.7
2019.seb	0.7
2019.whv	0.7
2019.3lj	0.7
2019.5m6	0.7
2019.37d	0.7
2019.zqb	0.7
2019.ju3	0.8
2019.ipu	0.6
2019.3x0	0.6
2019.50c	0.6
2019.48k	0.6
2019.xia	0.6
2019.qsi	0.6
2019.9qu	0.6
2019.nwk	0.6
2019.qqf	0.6
2019.wzs	0.6
2019.456	0.6
2019.ja0	0.6
2019.ge1	0.6
2019.oxl	0.6
2019.rsj	0.6
2019.919	0.6
2019.0h5	0.6
2019.rft	0.6
2019.odt	0.6
2019.riq	0.6
2019.sh6	0.8
2019.3p8	0.8
2019.wmz	0.8
2019.aq2	0.8
2019.znd	0.8
2019.ef7	0.8
2019.s6i	0.8
2019.ciz	0.8
2019.bjm	0.8
2019.0o5	0.8
2019.9gq	0.8
2019.w4c	0.8
2019.s0u	0.8
2019.w7g	0.8
2019.2je	0.8
2019.ia3	0.8
2019.ew4	0.8
2019.s6n	0.8
2019.290	0.8
2019.geb	0.8
2019.pyt	0.8
2019.a4j	0.7
2019.8q6	0.7
2019.5lr	0.7
2019.9zy	0.7
2019.kck	0.7
2019.uk1	0.7
2019.ic8	0.7
2019.54x	0.7
2019.hnq	0.7
2019.x2y	0.7
2019.iei	0.7
2019.ux2	0.7
2019.3v6	0.7
2019.02c	0.7
2019.63c	0.7
2019.oil	0.7
2019.xyv	0.7
2019.1ox	0.7
2019.9oh	0.7
2019.ixe	0.7
2019.z2w	0.7
2019.w4a	0.8
2019.lsc	0.6
2019.f0a	0.6
2019.w3x	0.6
2019.2c7	0.6
2019.rl1	0.6
2019.uc5	0.6
2019.z33	0.6
2019.uhe	0.6
2019.irn	0.6
2019.tf9	0.6
2019.lqf	0.6
2019.voy	0.6
2019.ty6	0.6
2019.8jf	0.6
2019.dn7	0.6
2019.gvc	0.6
2019.zgf	0.6
2019.v5v	0.6
2019.kx9	0.6
2019.ab5	0.6
2019.vff	0.8
2019.nvt	0.8
2019.op9	0.8
2019.9g5	0.8
2019.yb5	0.8
2019.rmj	0.8
2019.h12	0.8
2019.qil	0.8
2019.8nr	0.8
2019.0f3	0.8
2019.tej	0.8
2019.km8	0.8
2019.tyr	0.8
2019.qh4	0.8
2019.yxk	0.8
2019.sgk	0.8
2019.f8i	0.8
2019.tes	0.8
2019.bz6	0.8
2019.7ol	0.8
2019.9oc	0.8
2019.h0z	0.7
2019.vbr	0.7
2019.i8q	0.7
2019.of9	0.7
