obsid	source
70394012	noise
72265822	noise
71746177	noise
70642893	noise
72367293	noise
74085935	noise
73899416	noise
73544134	noise
71326739	noise
71923220	noise
73870345	noise
73827523	noise
71852624	noise
71990950	noise
72721518	noise
72628828	noise
72692414	noise
70233481	noise
70094635	noise
72764992	noise
71112681	noise
71483503	noise
72338321	noise
70252900	noise
71149812	noise
72439604	noise
72058806	noise
70747942	noise
72648158	noise
71083832	noise
73201890	noise
73222118	noise
72152766	noise
72124535	noise
73661177	noise
70603625	noise
71298551	noise
70365759	noise
71392049	noise
72078007	noise
71951502	noise
73064318	noise
71824013	noise
72512103	noise
70670943	noise
70575350	noise
72982727	noise
71411273	noise
72866622	noise
73398436	noise
73573280	noise
70888712	noise
70435809	noise
73798315	noise
73012063	noise
72410398	noise
71789906	noise
72196524	noise
72939395	noise
70796967	noise
73124800	noise
72019232	noise
72482953	noise
73500548	noise
71004065	noise
74043153	noise
72588983	noise
72225504	noise
70860498	noise
71526998	noise
73153802	noise
71455228	noise
70719887	noise
73756016	noise
71221840	noise
73355097	noise
73971198	noise
70164532	noise
73427496	noise
72793930	noise
72910137	noise
72294882	noise
70464168	noise
71032294	noise
71880981	noise
73093199	noise
73735801	noise
71249801	noise
73471420	noise
73942027	noise
73326049	noise
70326085	noise
70507092	noise
72837390	noise
71555068	noise
71177898	noise
73603895	noise
74014121	noise
70535220	noise
70932419	noise
71084533	noise
73690240	noise
70297814	noise
70960605	noise
70007243	noise
70193021	noise
73266220	noise
72560737	noise
70816145	noise
