obsid	source
84658408	noise
84740249	noise
82159546	noise
80869330	noise
84018242	noise
84447726	noise
83602158	noise
81765393	noise
83656446	noise
81227883	noise
80373349	noise
80826511	noise
84168375	noise
80581103	noise
82082111	noise
84774566	noise
83920956	noise
81582014	noise
82516867	noise
84528751	noise
80325361	noise
81794331	noise
84346448	noise
82406833	noise
83846793	noise
83736927	noise
84274470	noise
83997983	noise
84066254	noise
81629297	noise
84130331	noise
83005650	noise
83521028	noise
83439173	noise
82010231	noise
80653025	noise
82052967	noise
84384412	noise
81257007	noise
81153462	noise
82444552	noise
81866147	noise
84202585	noise
82938678	noise
84086574	noise
84231744	noise
82747249	noise
80037493	noise
84638241	noise
83192477	noise
82363959	noise
84418732	noise
81016754	noise
80152777	noise
80682026	noise
81299929	noise
80610137	noise
83590853	noise
82580055	noise
84590316	noise
83086287	noise
82976563	noise
81329346	noise
83158246	noise
82219009	noise
80946184	noise
80754047	noise
80898316	noise
83370860	noise
80461818	noise
81908994	noise
81475853	noise
81837156	noise
84702256	noise
81722273	noise
83483011	noise
83771025	noise
81649525	noise
82198860	noise
83958784	noise
82626199	noise
83418874	noise
82130271	noise
82836612	noise
83221444	noise
80066489	noise
80296364	noise
81552814	noise
80224751	noise
82300631	noise
83627494	noise
83309798	noise
84312295	noise
81110118	noise
82726903	noise
81692965	noise
80402569	noise
80797355	noise
81981018	noise
83812602	noise
82478689	noise
83271980	noise
84569856	noise
82262764	noise
83699226	noise
83349180	noise
84490952	noise
80441570	noise
82900599	noise
82334997	noise
83120418	noise
82551023	noise
80724909	noise
81080903	noise
80253785	noise
82664004	noise
81433244	noise
81037055	noise
83048541	noise
80182056	noise
81938109	noise
84803569	noise
81182437	noise
80538070	noise
82856857	noise
80975662	noise
80505631	noise
82795199	noise
83875830	noise
81404248	noise
81504809	noise
84846519	noise
