obsid	source
70007243	noise
70094635	noise
70164532	noise
70193021	noise
70233481	noise
70252900	noise
70297814	noise
70326085	noise
70365759	noise
70394012	noise
70435809	noise
70464168	noise
70507092	noise
70535220	noise
70575350	noise
70603625	noise
70642893	noise
70670943	noise
70719887	noise
70747942	noise
70796967	noise
70816145	noise
70860498	noise
70888712	noise
70932419	noise
70960605	noise
71004065	noise
71032294	noise
71083832	noise
71084533	noise
71112681	noise
71149812	noise
71177898	noise
71221840	noise
71249801	noise
71298551	noise
71326739	noise
71392049	noise
71411273	noise
71455228	noise
71483503	noise
71526998	noise
71555068	noise
71746177	noise
71789906	noise
71824013	noise
71852624	noise
71880981	noise
71923220	noise
71951502	noise
71990950	noise
72019232	noise
72058806	noise
72078007	noise
72124535	noise
72152766	noise
72196524	noise
72225504	noise
72265822	noise
72294882	noise
72338321	noise
72367293	noise
72410398	noise
72439604	noise
72482953	noise
72512103	noise
72560737	noise
72588983	noise
72628828	noise
72648158	noise
72692414	noise
72721518	noise
72764992	noise
72793930	noise
72837390	noise
72866622	noise
72910137	noise
72939395	noise
72982727	noise
73012063	noise
73064318	noise
73093199	noise
73124800	noise
73153802	noise
73201890	noise
73222118	noise
73266220	noise
73326049	noise
73355097	noise
73398436	noise
73427496	noise
73471420	noise
73500548	noise
73544134	noise
73573280	noise
73603895	noise
73661177	noise
73690240	noise
73735801	noise
73756016	noise
73798315	noise
73827523	noise
73870345	noise
73899416	noise
73942027	noise
73971198	noise
74014121	noise
74043153	noise
74085935	noise
74114972	noise
74163075	noise
74192289	noise
74240145	noise
74269250	noise
74308035	noise
74328270	noise
74371770	noise
74400903	noise
74443883	noise
74472934	noise
74515719	noise
74544926	noise
74587858	noise
74616912	noise
74659658	noise
74688844	noise
74731815	noise
74760896	noise
74808827	noise
74838209	noise
74877230	noise
74897368	noise
74940993	noise
74970040	noise
75013008	noise
75041977	noise
75084594	noise
75113896	noise
75156668	noise
75185931	noise
75228643	noise
75257897	noise
75300933	noise
75321348	noise
75387302	noise
75416347	noise
75457597	noise
75477805	noise
75521142	noise
75550342	noise
75593188	noise
75622260	noise
75664924	noise
75694091	noise
75722403	noise
75739267	noise
75768384	noise
75811319	noise
75840359	noise
75884415	noise
75913526	noise
75963857	noise
75992958	noise
76031857	noise
76052069	noise
76095586	noise
76124805	noise
76167842	noise
76196916	noise
76239706	noise
76268870	noise
76311704	noise
76340652	noise
76383352	noise
76412527	noise
76455388	noise
76484470	noise
76532348	noise
76561699	noise
76600781	noise
76620900	noise
76668970	noise
76698219	noise
76741184	noise
76770195	noise
76813032	noise
76841985	noise
76884727	noise
76913962	noise
76957131	noise
76986318	noise
77029122	noise
77058192	noise
77110612	noise
77139646	noise
77178455	noise
77198612	noise
77242010	noise
77271255	noise
77314030	noise
77334303	noise
77689682	noise
77718742	noise
77756974	noise
77777348	noise
77885551	noise
77905803	noise
78021395	noise
78050342	noise
78093157	noise
78122299	noise
