obsid	source
70194145	ra0hdec-67.25
70202953	ra0hdec-67.25
70327253	ra0hdec-67.25
70336184	ra0hdec-67.25
70344984	ra0hdec-67.25
70465208	ra0hdec-67.25
70474009	ra0hdec-67.25
70482836	ra0hdec-67.25
70604750	ra0hdec-67.25
70613613	ra0hdec-67.25
70748993	ra0hdec-67.25
70757886	ra0hdec-67.25
70889751	ra0hdec-67.25
70898515	ra0hdec-67.25
70907307	ra0hdec-67.25
71033333	ra0hdec-67.25
71042182	ra0hdec-67.25
71051045	ra0hdec-67.25
71178950	ra0hdec-67.25
71187891	ra0hdec-67.25
71196784	ra0hdec-67.25
71327778	ra0hdec-67.25
71336544	ra0hdec-67.25
71484629	ra0hdec-67.25
71493392	ra0hdec-67.25
71502157	ra0hdec-67.25
71747253	ra0hdec-67.25
71756037	ra0hdec-67.25
71764820	ra0hdec-67.25
71882166	ra0hdec-67.25
71890961	ra0hdec-67.25
71899844	ra0hdec-67.25
72019799	ra0hdec-67.25
72028608	ra0hdec-67.25
72153331	ra0hdec-67.25
72162201	ra0hdec-67.25
72171084	ra0hdec-67.25
72295458	ra0hdec-67.25
72304242	ra0hdec-67.25
72313155	ra0hdec-67.25
72440169	ra0hdec-67.25
72448952	ra0hdec-67.25
72457736	ra0hdec-67.25
72589634	ra0hdec-67.25
72598517	ra0hdec-67.25
72722094	ra0hdec-67.25
72730903	ra0hdec-67.25
72739816	ra0hdec-67.25
72867198	ra0hdec-67.25
72875981	ra0hdec-67.25
72884764	ra0hdec-67.25
73012639	ra0hdec-67.25
73021522	ra0hdec-67.25
73030405	ra0hdec-67.25
73154378	ra0hdec-67.25
73163187	ra0hdec-67.25
73428237	ra0hdec-67.25
73437150	ra0hdec-67.25
73445934	ra0hdec-67.25
73573847	ra0hdec-67.25
73582657	ra0hdec-67.25
73690934	ra0hdec-67.25
73699733	ra0hdec-67.25
73828088	ra0hdec-67.25
73836897	ra0hdec-67.25
73845706	ra0hdec-67.25
73971849	ra0hdec-67.25
73980733	ra0hdec-67.25
73989517	ra0hdec-67.25
74115539	ra0hdec-67.25
74124453	ra0hdec-67.25
74133248	ra0hdec-67.25
74269817	ra0hdec-67.25
74278626	ra0hdec-67.25
74401554	ra0hdec-67.25
74410438	ra0hdec-67.25
74419222	ra0hdec-67.25
74545492	ra0hdec-67.25
74554405	ra0hdec-67.25
74563201	ra0hdec-67.25
74689410	ra0hdec-67.25
74698219	ra0hdec-67.25
74707028	ra0hdec-67.25
74838861	ra0hdec-67.25
74847703	ra0hdec-67.25
74970616	ra0hdec-67.25
74979545	ra0hdec-67.25
74988458	ra0hdec-67.25
75114461	ra0hdec-67.25
75123245	ra0hdec-67.25
75132054	ra0hdec-67.25
75258549	ra0hdec-67.25
75267433	ra0hdec-67.25
75276316	ra0hdec-67.25
75417040	ra0hdec-67.25
75425835	ra0hdec-67.25
75550908	ra0hdec-67.25
75559694	ra0hdec-67.25
75568504	ra0hdec-67.25
75694742	ra0hdec-67.25
75703625	ra0hdec-67.25
75712409	ra0hdec-67.25
75841100	ra0hdec-67.25
75850013	ra0hdec-67.25
75993535	ra0hdec-67.25
76002344	ra0hdec-67.25
76125456	ra0hdec-67.25
76134340	ra0hdec-67.25
76143123	ra0hdec-67.25
76269435	ra0hdec-67.25
76278348	ra0hdec-67.25
76287145	ra0hdec-67.25
76413092	ra0hdec-67.25
76421902	ra0hdec-67.25
76430712	ra0hdec-67.25
76562350	ra0hdec-67.25
76571133	ra0hdec-67.25
76698785	ra0hdec-67.25
76707699	ra0hdec-67.25
76716495	ra0hdec-67.25
76914614	ra0hdec-67.25
76923398	ra0hdec-67.25
76932181	ra0hdec-67.25
77140341	ra0hdec-67.25
77149136	ra0hdec-67.25
77271820	ra0hdec-67.25
77280603	ra0hdec-67.25
77289412	ra0hdec-67.25
77719318	ra0hdec-67.25
77728122	ra0hdec-67.25
77846357	ra0hdec-67.25
77855241	ra0hdec-67.25
77979017	ra0hdec-67.25
77987826	ra0hdec-67.25
77996739	ra0hdec-67.25
78194648	ra0hdec-67.25
78203531	ra0hdec-67.25
78212315	ra0hdec-67.25
78419146	ra0hdec-67.25
78428060	ra0hdec-67.25
78550148	ra0hdec-67.25
78558932	ra0hdec-67.25
78567716	ra0hdec-67.25
