	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0136.1.1.1694	1.2199062717464157	0.2816403204879754	1.5015465922343911	0.4427065227376168	0.4343700110912323	0.45104303438400134	1694259.6482113004	109.90.y
0136.1.1.1718	1.3606589273618903	0.30351970901794745	1.6641786363798379	0.44190616324867027	0.4336025350076227	0.4502097914897179	1717681.8894222379	109.90.x
0136.1.1.1746	-0.024961557780743382	1.7378498403010767	1.7128882825203333	0.5504196435574684	0.5506293545106615	0.5502099326042753	1745834.3552425504	135.90.x
0136.1.1.1764	1.6590568136580626	0.3377591409293288	1.9968159545873914	0.4356414030106107	0.4272498945134302	0.44403291150779123	1763916.0202816129	135.90.y
0136.1.1.1860	1.3644292010463757	0.311724984312628	1.6761541853590036	0.43856378845249705	0.4301787373785082	0.4469488395264859	1859207.1579769254	111.90.x
0136.1.1.1908	1.4494307250096292	0.34938454475094954	1.7988152697605788	0.4406161393519522	0.43226675529167835	0.448965523412226	1907501.2253597379	111.90.y
0136.1.1.1942	1.2226774004797534	0.2980389736132083	1.5207163740929617	0.43828068794409497	0.4299078810587744	0.4466534948294155	1942977.9099300504	131.90.y
0136.1.1.1962	1.8059666985145402	0.39988158088591585	2.205848279400456	0.43946087636725595	0.4311317536922026	0.44778999904230926	1961135.8689144254	131.90.x
0136.1.1.2012	1.2620116637675998	0.3131704223465546	1.5751820861141543	0.4361291828177042	0.4277959232113666	0.4444624424240417	2011337.2849300504	95.90.x
0136.1.1.2026	1.5973630762982842	0.380272185261231	1.9776352615595152	0.4392107374555415	0.4308861481582298	0.4475353267528532	2026901.2497738004	95.90.y
0136.1.1.2074	1.396851646667514	0.32658661435648295	1.723438261023997	0.4392897665401121	0.4309181064317045	0.44766142664851977	2074432.3777034879	112.90.y
0136.1.1.2110	1.4519710327642712	0.34411935334255517	1.7960903861068265	0.4386467074349474	0.43024290466290616	0.44705051020698866	2110900.883562863	112.90.x
0136.1.1.2150	1.5469521631524086	0.3886621078560001	1.9356142710084088	0.43606702441218914	0.4276740442562783	0.4444600045681	2150421.147234738	133.90.x
0136.1.1.2180	1.6827186090098503	0.4058071792334375	2.0885257882432877	0.4377172452757504	0.42940012989603815	0.4460343606554627	2179489.1403988004	133.90.y
0136.1.1.2208	1.608143853830167	0.3955691494803324	2.0037130033104993	0.4428952266242245	0.43456476703214264	0.4512256862163063	2207565.3122738004	110.90.y
0136.1.1.2264	1.2503834417641415	0.37278744537993913	1.6231708871440806	0.43986245081680075	0.43148788082743295	0.4482370208061686	2263946.537859738	110.90.x
0136.1.1.2270	1.480689780794124	0.46621761529730094	1.946907396091425	0.44276303023971275	0.4343944435462941	0.4511316169331315	2270584.1111019254	92.90.y
0136.1.1.2324	1.570745790599854	0.41347597156930943	1.9842217621691636	0.4416786959071919	0.4333287519179194	0.4500286398964644	2324752.8122738004	92.90.x
0136.1.1.2374	1.6839344901836575	0.4297103080594651	2.1136447982431226	0.43969033891064524	0.43134925741372854	0.4480314204075619	2373123.1736019254	113.90.y
0136.1.1.2458	-0.008133939573957472	1.0472044268308949	1.0390704872569374	0.5504196435574684	0.5506293545106615	0.5502099326042753	2457504.2771175504	lc_resistor
0136.1.1.2480	1.5990422109079665	0.40906924420159113	2.0081114551095576	0.44089094895646674	0.432589313253537	0.44919258465939654	2480392.4607113004	131.150.y
