	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0135.1.1.1698	1.305109318435242	0.31361078113219215	1.6187200995674342	0.4363575074400936	0.42766527197563775	0.4450497429045495	1698303.2273128629	136.90.y
0135.1.1.1752	1.2236727360311819	0.29566865183925	1.5193413878704318	0.4387628244697805	0.4300435972539276	0.4474820516856334	1751785.2829769254	270.90.x
0135.1.1.1774	1.4094602558821154	0.3212940971302385	1.730754353012354	0.43760413938034964	0.42888674928754966	0.4463215294731496	1774063.1150081754	270.90.y
0135.1.1.1810	1.3433217737825003	0.3164952923258205	1.6598170661083207	0.43486344273866007	0.42612583965990797	0.44360104581741217	1809768.6814144254	221.90.y
0135.1.1.1848	1.2943535701898212	0.3297357124066456	1.6240892825964668	0.4370236230574134	0.42824715008756203	0.44580009602726467	1848144.5359066129	221.90.x
0135.1.1.1868	1.4382912072810727	0.3268395763684557	1.7651307836495285	0.4375912120841999	0.42887382856673995	0.4463085956016598	1868972.7829769254	247.90.x
0135.1.1.1914	1.4389251290478149	0.36820042825808547	1.8071255573059004	0.4365159659813863	0.4277891361380366	0.445242795824736	1914749.1501644254	247.90.y
0135.1.1.1950	1.2350284584371556	0.3140226463354709	1.5490511047726265	0.43470743756352326	0.4260071124822389	0.4434077626448077	1949615.4831722379	190.90.y
0135.1.1.1968	1.8468736554069303	0.421022239072469	2.267895894479399	0.43569446570719894	0.42698114349926186	0.4444077879151361	1967391.9724300504	190.90.x
0135.1.1.2020	1.2494940915816386	0.3123872735974294	1.561881365179068	0.4354524468364467	0.42669993168947923	0.44420496198341414	2020492.5583675504	233.90.x
0135.1.1.2038	1.5531179901603065	0.3477130584191791	1.9008310485794855	0.43656548146166485	0.4278309192070715	0.4453000437162582	2038726.8112972379	233.90.y
0135.1.1.2080	1.3793201939949142	0.32468584308236526	1.7040060370772794	0.43452737418545606	0.4257787146377776	0.44327603373313457	2080993.6570003629	234.90.y
0135.1.1.2118	1.4118957156152818	0.3284952442686378	1.7403909598839196	0.4362142625227836	0.42746640781019174	0.44496211723537554	2117233.2810238004	234.90.x
0135.1.1.2158	1.5488520849996466	0.38855094752119473	1.9374030325208413	0.434210042673729	0.42545500154832894	0.44296508379912897	2157211.3083675504	155.90.x
0135.1.1.2188	1.7213006929164516	0.39562894261464543	2.116929635531097	0.4347715409379298	0.4260597679532214	0.44348331392263823	2187423.7107113004	155.90.y
0135.1.1.2216	1.551993870144782	0.3734640379859536	1.9254579081307357	0.43682306705916585	0.4281195619167484	0.44552657220158337	2216873.1736019254	259.90.y
0135.1.1.2272	1.4374889082033393	0.3702165575265789	1.8077054657299183	0.4383384668445168	0.42953974337331147	0.4471371903157222	2271575.932390988	259.90.x
0135.1.1.2286	1.5859360607145019	0.40710581327038975	1.9930418739848916	0.43832869111051215	0.429590042824298	0.44706733939672627	2285614.018328488	269.90.y
0135.1.1.2334	1.5225071264460959	0.38175024772951555	1.9042573741756115	0.4385564669082571	0.42983741573543277	0.44727551808108146	2333908.0857113004	269.90.x
0135.1.1.2380	1.5193931404614056	0.38949050297857923	1.9088836434399847	0.43578004146249166	0.4270327636421172	0.44452731928286615	2380752.5681331754	220.90.y
0135.1.1.2418	1.6816308394428465	0.4040599015935431	2.0856907410363896	0.4375869167147204	0.42887186269570066	0.4463019707337401	2418518.071062863	220.90.x
0135.1.1.2468	-0.0051377018083520465	1.0206420990074438	1.0155043971990918	0.5204567232292874	0.5207034374693364	0.5202100089892383	2468872.074969113	lc_resistor
0135.1.1.2488	0.7843480088567156	1.241943985482761	2.0262919943394766	0.5204567232292874	0.5207034374693364	0.5202100089892383	2488098.149187863	190.150.y
0135.1.1.2548	1.4915713277113478	0.3480652923208235	1.8396366200321712	0.4379998224762801	0.42927250889100854	0.4467271360615516	2547073.3689144254	190.150.x
0135.1.1.2582	1.61572659455604	0.38740610057395575	2.0031326951299957	0.44079523332822335	0.4320297273522229	0.4495607393042238	2582015.9958675504	270.150.x
0135.1.1.2638	1.3472883942790026	0.31918221206781233	1.6664706063468149	0.44098710417164266	0.4322696813602853	0.44970452698300006	2637405.4001644254	270.150.y
0135.1.1.2676	1.5201769116626849	0.38393270379718153	1.9041096154598665	0.43951733752411637	0.43077971694546946	0.44825495810276333	2676696.782000363	259.150.y
0135.1.1.2706	1.7077022051953654	0.38500945291090016	2.0927116581062655	0.4414707202340149	0.43279140184219855	0.45015003862583125	2706222.5388363004	259.150.x
0135.1.1.2766	1.417380351274843	0.3336026199966239	1.7509829712714668	0.43868060524261165	0.4299390385919348	0.4474221718932886	2765731.8161800504	234.150.x
0135.1.1.2824	1.428400420324108	0.33242583413670634	1.7608262544608144	0.43873225739479815	0.4300225957124629	0.44744191907713343	2824554.448015988	234.150.y
0135.1.1.2922	1.521111020189152	0.3719501491263785	1.8930611693155306	0.4390636450011104	0.4303502757184301	0.4477770142837907	2921752.934344113	220.150.x
0135.1.1.2950	1.4308557644467799	0.31831614615473924	1.749171910601519	0.4388580885089846	0.43009120003240753	0.4476249769855617	2950973.5153988004	221.150.x
0135.1.1.3008	1.3955988812403504	0.30232742865175904	1.6979263098921094	0.4385047658355937	0.42974920497655944	0.44726032669462795	3008956.9138363004	221.150.y
0135.1.1.3064	1.701050729061729	0.3540784815346057	2.0551292105963346	0.43734587209367404	0.42857955355766997	0.44611219062967805	3064575.199969113	155.150.y
0135.1.1.3170	1.3793347656853414	0.28050630149143946	1.659841067176781	0.4395256581062556	0.4308297721018188	0.4482215441106924	3170776.371844113	136.150.x
0135.1.1.3268	1.305594128191664	0.2651853108638973	1.5707794390555614	0.4380933035923044	0.4293170672708679	0.44686953991374095	3268280.033953488	247.150.y
0135.1.1.3330	1.4893200832501827	0.24823629536401678	1.7375563786141994	0.43925988991146114	0.4305771393448268	0.4479426404780955	3329086.3083675504	247.150.x
0135.1.1.3376	1.2922218191136836	0.23699581658765337	1.529217635701337	0.44121671676219143	0.43247599556198146	0.44995743796240145	3376998.9060238004	269.150.x
0135.1.1.3446	1.5872117706163338	0.2781502031254096	1.8653619737417435	0.4393463159327735	0.430661493906797	0.44803113795875	3446578.9841488004	269.150.y
0135.1.1.3504	1.2628452430612096	0.20916724876279205	1.4720124918240016	0.4382082110093837	0.42953974337331147	0.4468766786454558	3504562.3825863004	233.150.y
0135.1.1.3556	1.2813962315683716	0.211920958082758	1.4933171896511295	0.43856527607867013	0.42985520023517765	0.44727535192216256	3555679.3259456754	233.150.x
0135.1.1.3676	0.03279885918418013	1.704519954556892	1.7373188137410722	0.5204567232292874	0.5207034374693364	0.5202100089892383	3676834.1111019254	221.220.y
0135.1.1.3744	1.267711195143952	0.17659937239131276	1.4443105675352648	0.4355799976717085	0.42689167420146035	0.44426832114195675	3743667.6071956754	221.220.x
0135.1.1.3804	1.1757439580853353	0.16012248316620703	1.3358664412515422	0.4427490321235641	0.4340513500020009	0.4514467142451272	3803024.2966488004	270.220.x
0135.1.1.3866	1.2369512548465538	0.12691260229420667	1.3638638571407604	0.4428647575218959	0.4341702549162771	0.4515592601275148	3865661.625750363	270.220.y
0135.1.1.3940	0.8235475254309744	0.8256523606606015	1.649199886091576	0.5093760913883281	0.5207034374693364	0.4980487453073197	3939666.752703488	136.220.y
0135.1.1.4078	1.1965306840661811	0.21381518187966594	1.410345865945847	0.44215556036857095	0.43351529679801715	0.45079582393912476	4077835.0876644254	233.220.x
0135.1.1.4146	1.277083143156835	0.17781768331905098	1.454900826475886	0.42171427496037456	0.41309235498042085	0.43033619494032826	4145355.229265988	233.220.y
0135.1.1.4214	1.2237529674383905	0.08998498055702901	1.3137379479954194	0.4390630461243097	0.43035371744288753	0.44777237480573184	4213180.5466488	190.220.y
0135.1.1.4274	2.0844973882547744	0.18513067936309813	2.2696280676178726	0.44086128301670796	0.43214824362415527	0.44957432240926065	4274978.642351925	190.220.x
0135.1.1.4362	1.2147033940692715	0.12417851742345022	1.3388819114927217	0.44059102218687596	0.431949459312607	0.449232585061145	4362182.621844113	234.220.x
0135.1.1.4440	1.2186497223862434	0.11410621904023596	1.3327559414264794	0.43950402252702386	0.43081404382882243	0.4481940012252253	4440689.091570675	234.220.y
0135.1.1.4508	1.772033498279941	0.12529169389194536	1.8973251921718863	0.44033380172221975	0.431598206025015	0.44906939741942453	4508361.821062863	247.220.y
0135.1.1.4582	1.2010466097342025	0.08952663863422361	1.2905732483684262	0.44094982366798596	0.4322632575622549	0.44963638977371706	4581985.478289425	247.220.x
0135.1.1.4660	1.9429078003089608	0.12086463116247699	2.063772431471438	0.4404715365583219	0.4317915521533777	0.44915152096326605	4660263.06618005	155.220.x
0135.1.1.4744	1.9630302604861964	0.11144935354874494	2.0744796140349413	0.4394739039202029	0.43077971694546946	0.44816809089493637	4743041.996844113	155.220.y
0135.1.1.4822	1.7272045868525772	0.09463487551617156	1.8218394623687488	0.44084090461330505	0.43210667582118134	0.4495751334054288	4822845.463640988	259.220.y
0135.1.1.4910	1.7359777408246289	0.09496930263110416	1.8309470434557331	0.44229734864613146	0.43359836063639534	0.45099633665586764	4910125.737078488	259.220.x
0135.1.1.5016	1.2556768679548236	0.2154964781307155	1.4711733460855392	0.4399035078768022	0.431228611528591	0.44857840422501344	5016555.790789425	220.220.x
0135.1.1.5080	1.990269958400911	0.11518336986568319	2.105453328266594	0.44113102433101914	0.4324489865167796	0.44981306214525874	5079650.883562863	220.220.y
